page_url,property_type,price,location,locality,baths,area_marla,purpose,bedrooms
https://www.zameen.com/Property/lahore_wapda_town_5_marla_house_for_sale-14882293-423-1.html,House,11500000,Wapda Town,"Wapda Town, Lahore, Punjab",5,5.0,For Sale,5
https://www.zameen.com/Property/cantt_khuda_bux_colony_khuda_bush_colony_7_marla_house_for_sale-15962637-3672-1.html,House,14000000,Cantt,"Cantt, Lahore, Punjab",4,7.0,For Sale,3
https://www.zameen.com/Property/lahore_model_town_golden_chance_to_buy_your_bungalow_for_sale_4_kanal_big_front-17222285-8-1.html,House,250000000,Model Town,"Model Town, Lahore, Punjab",8,80.0,For Sale,8
https://www.zameen.com/Property/islamabad_national_police_foundation_o_9_portion_is_available_for_rent-17460525-331-4.html,Upper Portion,30000,National Police Foundation O-9,"National Police Foundation O-9, Islamabad, Islamabad Capital",0,10.0,For Rent,3
https://www.zameen.com/Property/islamabad_g_11_portion_for_rent-13877912-168-4.html,Upper Portion,25500,G-11,"G-11, Islamabad, Islamabad Capital",2,4.5,For Rent,2
https://www.zameen.com/Property/faisalabad_muslim_town_house_is_available_for_rent-17173995-1156-4.html,House,35000,Muslim Town,"Muslim Town, Faisalabad, Punjab",0,7.0,For Rent,5
https://www.zameen.com/Property/f_7_f_7_1_house_for_sale-7868704-3307-1.html,House,180000000,F-7,"F-7, Islamabad, Islamabad Capital",8,26.0,For Sale,7
https://www.zameen.com/Property/bahria_town_karachi_bahria_apartments_flat_is_available_for_sale-16802744-9030-1.html,Flat,10600000,Bahria Town Karachi,"Bahria Town Karachi, Karachi, Sindh",2,6.4,For Sale,2
https://www.zameen.com/Property/dha_defence_dha_phase_6_1_kanal_brand_new_designer_spanish_bungalow_in_phase_6_near_to_main_dha_office_main_cca_park_dha_lahore-16558640-1448-1.html,House,57000000,DHA Defence,"DHA Defence, Lahore, Punjab",6,20.0,For Sale,5
https://www.zameen.com/Property/dha_defence_dha_phase_4_house_is_available_for_sale-17084204-1446-1.html,House,35000000,DHA Defence,"DHA Defence, Lahore, Punjab",0,10.0,For Sale,0
https://www.zameen.com/Property/state_life_housing_society_state_life_housing_phase_1_5_marla_brand_new_house_for_sale-12932606-4190-1.html,House,9500000,State Life Housing Society,"State Life Housing Society, Lahore, Punjab",4,5.0,For Sale,3
https://www.zameen.com/Property/d_h_a_dha_phase_6_here_is_a_good_opportunity_to_live_in_a_well_built_flat-16732310-1483-1.html,Flat,12500000,DHA Defence,"DHA Defence, Karachi, Sindh",2,4.0,For Sale,2
https://www.zameen.com/Property/faisalabad_wapda_city_the_best_house_for_living_purpose-17391514-501-1.html,House,13000000,Wapda City,"Wapda City, Faisalabad, Punjab",0,10.0,For Sale,4
https://www.zameen.com/Property/rawalpindi_ali_town_house_for_rent-14891908-11348-4.html,House,13000,Ali Town,"Ali Town, Rawalpindi, Punjab",3,3.0,For Rent,2
https://www.zameen.com/Property/faisalabad_gulshan_e_haram_the_best_house_for_living_purpose-16784097-10378-1.html,House,5500000,Gulshan-e-Haram,"Gulshan-e-Haram, Faisalabad, Punjab",0,3.0,For Sale,0
https://www.zameen.com/Property/d_h_a_dha_phase_6_500_yards_full_bungalow_available_for_rent_at_dha_phase_6_karachi-17320532-1483-4.html,House,220000,DHA Defence,"DHA Defence, Karachi, Sindh",4,20.0,For Rent,4
https://www.zameen.com/Property/gulistan_e_jauhar_gulistan_e_jauhar_block_3_a_4_rooms_elite_apartments_in__orchid_f5__sidra_capital_in_gulistan_e_jauhar_block_3a-17072573-6827-1.html,Flat,9500000,Gulistan-e-Jauhar,"Gulistan-e-Jauhar, Karachi, Sindh",2,4.2,For Sale,0
https://www.zameen.com/Property/bahria_town_karachi_bahria_town_precinct_31_chance_deal_villa_for_sale_in_precint31_bahria_town-17342413-10045-1.html,House,9010000,Bahria Town Karachi,"Bahria Town Karachi, Karachi, Sindh",3,8.0,For Sale,3
https://www.zameen.com/Property/faisalabad_others_house_is_available_for_rent-16381832-352-4.html,House,10000,Others,"Others, Faisalabad, Punjab",0,2.5,For Rent,0
https://www.zameen.com/Property/bahria_town_karachi_bahria_apartments_flat_is_avilable_for_sale_in_bahria_apartments-16984021-9030-1.html,Flat,15300000,Bahria Town Karachi,"Bahria Town Karachi, Karachi, Sindh",3,10.0,For Sale,3
https://www.zameen.com/Property/faisal_cantonment_askari_4_askari_4_apartment_for_sale-8178953-6648-1.html,Flat,40000000,Cantt,"Cantt, Karachi, Sindh",5,12.2,For Sale,3
https://www.zameen.com/Property/islamabad_e_11_the_best_flat_for_living_purpose-16660287-329-1.html,Flat,18000000,E-11,"E-11, Islamabad, Islamabad Capital",4,7.0,For Sale,4
https://www.zameen.com/Property/rawalpindi_chakra_road_6_marla_single_unit_very_beautifully_house_for_rent-16779416-10347-4.html,House,22000,Chakra Road,"Chakra Road, Rawalpindi, Punjab",3,6.0,For Rent,2
https://www.zameen.com/Property/lahore_hanif_park_harbanspura_single_storey_house_for_sale-11570676-12033-1.html,House,12000000,Hanif Park Harbanspura,"Hanif Park Harbanspura, Lahore, Punjab",3,7.0,For Sale,2
https://www.zameen.com/Property/surjani_town_sector_5_surjani_town_sector_5b_first_time_in_surjani_town_2_rooms_furnished_flat_on_cash_easy_installment-17246161-8978-1.html,Flat,1425000,Gadap Town,"Gadap Town, Karachi, Sindh",1,2.0,For Sale,1
https://www.zameen.com/Property/karachi_nazimabad_ground_3rd_floor_house_is_available_for_sale-17237572-278-1.html,House,42500000,Nazimabad,"Nazimabad, Karachi, Sindh",0,8.9,For Sale,0
https://www.zameen.com/Property/lahore_bahria_orchard_house_for_sale-16887861-1474-1.html,House,18700000,Bahria Orchard,"Bahria Orchard, Lahore, Punjab",4,20.0,For Sale,4
https://www.zameen.com/Property/i_8_i_8_4_double_storey_house_is_available_for_sale-17056820-3444-1.html,House,43500000,I-8,"I-8, Islamabad, Islamabad Capital",0,14.2,For Sale,5
https://www.zameen.com/Property/lahore_fateh_garh_double_storey_house_is_available_for_sale-16993350-1023-1.html,House,7500000,Fateh Garh,"Fateh Garh, Lahore, Punjab",0,3.0,For Sale,3
https://www.zameen.com/Property/federal_b_area_federal_b_area_block_8_3_bedroom_apartment_for_rent-17339154-6692-4.html,Flat,45000,Federal B Area,"Federal B Area, Karachi, Sindh",4,7.4,For Rent,3
https://www.zameen.com/Property/islamabad_national_police_foundation_neat_and_clean_upper_portion_in_national_police_foundation-17346002-434-4.html,House,28000,National Police Foundation,"National Police Foundation, Islamabad, Islamabad Capital",2,10.0,For Rent,2
https://www.zameen.com/Property/bahria_town_karachi_bahria_apartments_a_beautifully_built_luxurious_apartment_at_good_location-17030505-9030-1.html,Flat,7000000,Bahria Town Karachi,"Bahria Town Karachi, Karachi, Sindh",2,4.2,For Sale,2
https://www.zameen.com/Property/d_h_a_dha_phase_2_here_is_a_good_opportunity_to_live_in_a_well_built_flat-17302727-1479-1.html,Flat,21000000,DHA Defence,"DHA Defence, Karachi, Sindh",3,7.1,For Sale,3
https://www.zameen.com/Property/bahria_town_precinct_11_bahria_town_precinct_11_a_villa_is_available_for_sale_full_paid-16987686-10020-1.html,House,10000000,Bahria Town Karachi,"Bahria Town Karachi, Karachi, Sindh",3,8.0,For Sale,3
https://www.zameen.com/Property/lahore_baghbanpura_well_built_house_available_on_good_location-16498997-1057-1.html,House,9000000,Baghbanpura,"Baghbanpura, Lahore, Punjab",3,4.0,For Sale,5
https://www.zameen.com/Property/dha_phase_6_dha_phase_6_block_n_one_kanal_brand_new_bungalow_for_sale_best_location_hot_offer-17086648-1622-1.html,House,37000000,DHA Defence,"DHA Defence, Lahore, Punjab",6,20.0,For Sale,6
https://www.zameen.com/Property/johar_town_phase_2_johar_town_phase_2_block_j2_10__marla_residential_house_lower_portion__is_available_for_rent_at__johar_town_phase_2__block_j2_at_prime_location-17387074-3971-4.html,Lower Portion,30000,Johar Town,"Johar Town, Lahore, Punjab",3,10.0,For Rent,2
https://www.zameen.com/Property/lahore_gulshan_e_ravi_brand_new_double_storey_house_is_available_for_sale-17448952-893-1.html,House,7500000,Gulshan-e-Ravi,"Gulshan-e-Ravi, Lahore, Punjab",0,2.8,For Sale,3
https://www.zameen.com/Property/d_h_a_dha_phase_7_best_portion_is_available_for_rent-17166029-1484-4.html,Lower Portion,100000,DHA Defence,"DHA Defence, Karachi, Sindh",3,20.0,For Rent,3
